UF;Sigla;Ano;Total;Homens;Mulheres;NASCIMENTOS;ÓBITOS;SALDO MIGRATÓRIO Interno (1);Internac.;Total;Exp Vd Ambos;Exp Homens;Exp Mulheres;Mort Inf Ambos;Mort Homens;Mort Mulheres
Sergipe;SE;2044;2.616.494;1.245.557;1.370.937;27.858;24.438;887;0;887;77,51;73,61;81,35;9,00;9,54;8,43
Sergipe;SE;2045;2.620.468;1.246.913;1.373.555;27.689;24.935;887;0;887;77,62;73,74;81,43;8,96;9,50;8,39
Sergipe;SE;2046;2.623.766;1.247.968;1.375.798;27.509;25.440;887;0;887;77,71;73,86;81,51;8,93;9,47;8,36
Sergipe;SE;2047;2.626.387;1.248.722;1.377.665;27.345;25.946;887;0;887;77,81;73,98;81,58;8,90;9,44;8,33
Sergipe;SE;2048;2.628.337;1.249.179;1.379.158;27.180;26.454;887;0;887;77,91;74,09;81,66;8,88;9,41;8,31
Sergipe;SE;2049;2.629.608;1.249.337;1.380.271;27.009;26.967;887;0;887;77,99;74,20;81,72;8,85;9,39;8,29
Sergipe;SE;2050;2.630.195;1.249.196;1.380.999;26.841;27.483;887;0;887;78,08;74,31;81,79;8,83;9,37;8,27
Sergipe;SE;2051;2.630.096;1.248.756;1.381.340;26.668;27.997;887;0;887;78,17;74,42;81,85;8,81;9,35;8,25
Sergipe;SE;2052;2.629.311;1.248.019;1.381.292;26.495;28.511;887;0;887;78,24;74,52;81,91;8,80;9,33;8,23
Sergipe;SE;2053;2.627.834;1.246.983;1.380.851;26.307;29.019;887;0;887;78,33;74,62;81,96;8,78;9,31;8,22
Sergipe;SE;2054;2.625.660;1.245.646;1.380.014;26.112;29.521;887;0;887;78,40;74,71;82,02;8,77;9,30;8,20
Sergipe;SE;2055;2.622.791;1.244.009;1.378.782;25.912;30.013;887;0;887;78,47;74,81;82,07;8,76;9,29;8,19
Sergipe;SE;2056;2.619.237;1.242.076;1.377.161;25.721;30.500;887;0;887;78,54;74,90;82,12;8,75;9,28;8,18
Sergipe;SE;2057;2.615.013;1.239.854;1.375.159;25.529;30.973;887;0;887;78,61;74,98;82,16;8,74;9,27;8,17
Sergipe;SE;2058;2.610.119;1.237.343;1.372.776;25.322;31.440;887;0;887;78,68;75,07;82,21;8,73;9,26;8,17
Sergipe;SE;2059;2.604.560;1.234.544;1.370.016;25.114;31.888;887;0;887;78,74;75,15;82,25;8,72;9,25;8,16
Sergipe;SE;2060;2.598.353;1.231.465;1.366.888;24.906;32.321;887;0;887;78,80;75,23;82,29;8,71;9,24;8,15
Bahia;BA;2010;14.302.571;7.022.509;7.280.062;220.513;100.241;-49.560;0;-49.560;71,92;67,72;76,43;23,13;24,90;21,26
Bahia;BA;2011;14.372.994;7.049.709;7.323.285;219.311;100.361;-48.816;0;-48.816;72,20;67,95;76,75;21,95;23,50;20,31
Bahia;BA;2012;14.441.531;7.075.846;7.365.685;215.812;100.801;-48.073;0;-48.073;72,47;68,17;77,06;20,87;22,22;19,43
Bahia;BA;2013;14.505.033;7.099.339;7.405.694;208.757;101.360;-47.330;0;-47.330;72,73;68,40;77,36;19,86;21,05;18,62
Bahia;BA;2014;14.565.807;7.121.398;7.444.409;210.147;102.078;-46.586;0;-46.586;72,99;68,62;77,65;18,95;19,99;17,86
Bahia;BA;2015;14.629.018;7.144.691;7.484.327;213.747;102.965;-45.843;0;-45.843;73,23;68,83;77,92;18,11;19,02;17,15
Bahia;BA;2016;14.689.684;7.166.690;7.522.994;205.329;103.835;-45.100;0;-45.100;73,47;69,04;78,18;17,35;18,14;16,51
Bahia;BA;2017;14.749.868;7.188.472;7.561.396;213.140;104.810;-44.356;0;-44.356;73,71;69,25;78,43;16,64;17,35;15,91
Bahia;BA;2018;14.812.617;7.211.608;7.601.009;211.097;105.960;-43.613;0;-43.613;73,93;69,46;78,67;16,01;16,63;15,36
Bahia;BA;2019;14.872.858;7.233.509;7.639.349;208.921;107.095;-42.869;0;-42.869;74,15;69,66;78,90;15,43;15,97;14,85
Bahia;BA;2020;14.930.424;7.254.101;7.676.323;206.595;108.295;-42.126;0;-42.126;74,36;69,86;79,11;14,89;15,38;14,38
Bahia;BA;2021;14.985.070;7.273.278;7.711.792;204.045;109.546;-41.383;0;-41.383;74,57;70,05;79,32;14,42;14,84;13,96
Bahia;BA;2022;15.036.517;7.290.913;7.745.604;201.332;110.914;-40.639;0;-40.639;74,76;70,24;79,52;13,98;14,36;13,57
Bahia;BA;2023;15.084.600;7.306.926;7.777.674;198.653;112.371;-39.896;0;-39.896;74,96;70,43;79,70;13,57;13,92;13,21
Bahia;BA;2024;15.129.225;7.321.284;7.807.941;195.945;113.928;-39.152;0;-39.152;75,14;70,61;79,88;13,21;13,52;12,88
Bahia;BA;2025;15.170.253;7.333.933;7.836.320;193.138;115.538;-38.409;0;-38.409;75,32;70,79;80,05;12,88;13,16;12,58
Bahia;BA;2026;15.207.525;7.344.806;7.862.719;190.264;117.247;-37.666;0;-37.666;75,49;70,97;80,21;12,58;12,84;12,31
Bahia;BA;2027;15.240.909;7.353.839;7.887.070;187.395;119.055;-36.922;0;-36.922;75,66;71,14;80,36;12,31;12,55;12,07
Bahia;BA;2028;15.270.303;7.361.000;7.909.303;184.504;120.954;-36.179;0;-36.179;75,82;71,31;80,51;12,07;12,28;11,84
Bahia;BA;2029;15.295.642;7.366.269;7.929.373;181.638;122.895;-35.436;0;-35.436;75,98;71,48;80,65;11,85;12,04;11,63
Bahia;BA;2030;15.316.952;7.369.659;7.947.293;178.899;124.894;-34.692;0;-34.692;76,13;71,64;80,78;11,64;11,83;11,45
Bahia;BA;2031;15.333.879;7.370.991;7.962.888;176.170;126.938;-34.692;0;-34.692;76,28;71,80;80,90;11,46;11,63;11,28
Bahia;BA;2032;15.346.028;7.370.061;7.975.967;173.509;129.060;-34.692;0;-34.692;76,41;71,96;81,02;11,30;11,46;11,12
Bahia;BA;2033;15.353.402;7.366.879;7.986.523;170.934;131.250;-34.692;0;-34.692;76,55;72,11;81,13;11,15;11,30;10,98
Bahia;BA;2034;15.355.998;7.361.457;7.994.541;168.384;133.491;-34.692;0;-34.692;76,68;72,26;81,23;11,01;11,16;10,86
Bahia;BA;2035;15.353.814;7.353.803;8.000.011;165.939;135.816;-34.692;0;-34.692;76,81;72,40;81,33;10,89;11,03;10,74
Bahia;BA;2036;15.346.869;7.343.940;8.002.929;163.567;138.196;-34.692;0;-34.692;76,93;72,55;81,43;10,78;10,91;10,64
Bahia;BA;2037;15.335.177;7.331.886;8.003.291;161.268;140.638;-34.692;0;-34.692;77,05;72,69;81,52;10,68;10,81;10,54
Bahia;BA;2038;15.318.735;7.317.652;8.001.083;158.990;143.120;-34.692;0;-34.692;77,16;72,82;81,60;10,59;10,71;10,46
Bahia;BA;2039;15.297.524;7.301.245;7.996.279;156.752;145.661;-34.692;0;-34.692;77,27;72,96;81,68;10,51;10,63;10,38
Bahia;BA;2040;15.271.580;7.282.689;7.988.891;154.615;148.210;-34.692;0;-34.692;77,37;73,09;81,76;10,43;10,55;10,31
Bahia;BA;2041;15.241.004;7.262.041;7.978.963;152.605;150.777;-34.692;0;-34.692;77,48;73,22;81,83;10,36;10,48;10,24
Bahia;BA;2042;15.205.888;7.239.362;7.966.526;150.685;153.361;-34.692;0;-34.692;77,58;73,34;81,90;10,30;10,42;10,19
Bahia;BA;2043;15.166.238;7.214.668;7.951.570;148.755;155.995;-34.692;0;-34.692;77,68;73,46;81,96;10,25;10,36;10,13
Bahia;BA;2044;15.122.024;7.187.956;7.934.068;146.859;158.664;-34.692;0;-34.692;77,77;73,58;82,02;10,20;10,31;10,09
Bahia;BA;2045;15.073.291;7.159.256;7.914.035;145.027;161.304;-34.692;0;-34.692;77,87;73,70;82,08;10,16;10,26;10,04
Bahia;BA;2046;15.020.105;7.128.614;7.891.491;143.298;164.008;-34.692;0;-34.692;77,95;73,81;82,13;10,12;10,22;10,00
Bahia;BA;2047;14.962.522;7.096.070;7.866.452;141.610;166.682;-34.692;0;-34.692;78,03;73,92;82,18;10,08;10,18;9,97
Bahia;BA;2048;14.900.565;7.061.642;7.838.923;139.908;169.365;-34.692;0;-34.692;78,11;74,03;82,23;10,05;10,15;9,94
Bahia;BA;2049;14.834.243;7.025.342;7.808.901;138.222;172.026;-34.692;0;-34.692;78,19;74,13;82,28;10,02;10,12;9,91
Bahia;BA;2050;14.763.590;6.987.193;7.776.397;136.521;174.640;-34.692;0;-34.692;78,27;74,24;82,32;9,99;10,09;9,88
Bahia;BA;2051;14.688.641;6.947.213;7.741.428;134.834;177.230;-34.692;0;-34.692;78,34;74,34;82,36;9,97;10,07;9,86
Bahia;BA;2052;14.609.436;6.905.426;7.704.010;133.126;179.757;-34.692;0;-34.692;78,41;74,43;82,40;9,95;10,04;9,84
Bahia;BA;2053;14.525.993;6.861.847;7.664.146;131.369;182.240;-34.692;0;-34.692;78,48;74,53;82,44;9,93;10,02;9,82
Bahia;BA;2054;14.438.328;6.816.485;7.621.843;129.613;184.689;-34.692;0;-34.692;78,54;74,62;82,47;9,91;10,01;9,80
Bahia;BA;2055;14.346.461;6.769.359;7.577.102;127.805;187.078;-34.692;0;-34.692;78,61;74,71;82,50;9,89;9,99;9,78
Bahia;BA;2056;14.250.434;6.720.496;7.529.938;126.013;189.410;-34.692;0;-34.692;78,67;74,80;82,53;9,88;9,97;9,77
Bahia;BA;2057;14.150.307;6.669.933;7.480.374;124.201;191.676;-34.692;0;-34.692;78,73;74,88;82,56;9,86;9,96;9,76
Bahia;BA;2058;14.046.125;6.617.708;7.428.417;122.342;193.846;-34.692;0;-34.692;78,79;74,97;82,59;9,85;9,95;9,74
Bahia;BA;2059;13.937.968;6.563.854;7.374.114;120.494;195.918;-34.692;0;-34.692;78,84;75,05;82,61;9,84;9,94;9,73
Bahia;BA;2060;13.825.958;6.508.424;7.317.534;118.648;197.860;-34.692;0;-34.692;78,89;75,13;82,64;9,83;9,93;9,72
Minas Gerais;MG;2010;19.957.444;9.828.254;10.129.190;263.109;122.074;-3.087;0;-3.087;75,51;72,47;78,62;14,63;15,61;13,59
Minas Gerais;MG;2011;20.096.163;9.896.288;10.199.875;266.205;123.675;-3.041;0;-3.041;75,82;72,81;78,89;13,88;14,79;12,94
Minas Gerais;MG;2012;20.235.204;9.964.508;10.270.696;267.012;125.426;-2.994;0;-2.994;76,13;73,14;79,17;13,20;14,03;12,33
Minas Gerais;MG;2013;20.371.328;10.031.255;10.340.073;263.888;127.286;-2.948;0;-2.948;76,41;73,46;79,43;12,56;13,33;11,75
Minas Gerais;MG;2014;20.508.631;10.098.642;10.409.989;273.083;129.229;-2.902;0;-2.902;76,70;73,77;79,68;11,97;12,68;11,21
Minas Gerais;MG;2015;20.648.978;10.167.615;10.481.363;273.883;131.286;-2.855;0;-2.855;76,97;74,06;79,93;11,41;12,08;10,71
Minas Gerais;MG;2016;20.780.264;10.231.969;10.548.295;258.888;133.250;-2.808;0;-2.808;77,24;74,35;80,17;10,90;11,53;10,24
Minas Gerais;MG;2017;20.908.628;10.294.859;10.613.769;272.091;135.431;-2.762;0;-2.762;77,49;74,62;80,40;10,42;11,02;9,79
Minas Gerais;MG;2018;21.040.662;10.359.652;10.681.010;270.645;137.760;-2.715;0;-2.715;77,73;74,88;80,62;9,98;10,54;9,38
Minas Gerais;MG;2019;21.168.791;10.422.468;10.746.323;268.889;140.135;-2.669;0;-2.669;77,96;75,13;80,84;9,56;10,11;8,99
Minas Gerais;MG;2020;21.292.666;10.483.131;10.809.535;266.845;142.558;-2.622;0;-2.622;78,19;75,37;81,04;9,18;9,70;8,63
Minas Gerais;MG;2021;21.411.923;10.541.449;10.870.474;264.516;145.092;-2.576;0;-2.576;78,41;75,60;81,24;8,82;9,33;8,30
Minas Gerais;MG;2022;21.526.076;10.597.182;10.928.894;261.747;147.760;-2.530;0;-2.530;78,61;75,82;81,44;8,50;8,99;7,99
Minas Gerais;MG;2023;21.634.690;10.650.110;10.984.580;258.777;150.522;-2.483;0;-2.483;78,81;76,03;81,63;8,19;8,67;7,70
Minas Gerais;MG;2024;21.737.475;10.700.079;11.037.396;255.640;153.403;-2.437;0;-2.437;79,01;76,23;81,81;7,91;8,37;7,43
Minas Gerais;MG;2025;21.834.171;10.746.964;11.087.207;252.374;156.392;-2.390;0;-2.390;79,19;76,43;81,98;7,65;8,10;7,17
Minas Gerais;MG;2026;21.924.590;10.790.677;11.133.913;249.093;159.504;-2.343;0;-2.343;79,36;76,61;82,15;7,41;7,85;6,94
Minas Gerais;MG;2027;22.008.542;10.831.115;11.177.427;245.727;162.773;-2.297;0;-2.297;79,53;76,78;82,31;7,18;7,62;6,72
Minas Gerais;MG;2028;22.085.843;10.868.187;11.217.656;242.315;166.119;-2.251;0;-2.251;79,69;76,95;82,47;6,98;7,41;6,52
Minas Gerais;MG;2029;22.156.380;10.901.838;11.254.542;238.948;169.613;-2.204;0;-2.204;79,85;77,11;82,62;6,78;7,21;6,34
Minas Gerais;MG;2030;22.220.112;10.932.044;11.288.068;235.673;173.182;-2.158;0;-2.158;79,99;77,26;82,76;6,60;7,02;6,16
Minas Gerais;MG;2031;22.276.910;10.958.757;11.318.153;232.319;176.899;-2.158;0;-2.158;80,13;77,41;82,90;6,44;6,86;6,00
Minas Gerais;MG;2032;22.326.629;10.981.919;11.344.710;229.009;180.674;-2.158;0;-2.158;80,27;77,54;83,03;6,29;6,70;5,85
Minas Gerais;MG;2033;22.369.292;11.001.549;11.367.743;225.868;184.562;-2.158;0;-2.158;80,40;77,67;83,16;6,15;6,56;5,72
Minas Gerais;MG;2034;22.404.924;11.017.663;11.387.261;222.845;188.571;-2.158;0;-2.158;80,52;77,80;83,28;6,02;6,42;5,59
Minas Gerais;MG;2035;22.433.582;11.030.295;11.403.287;219.997;192.639;-2.158;0;-2.158;80,64;77,92;83,40;5,90;6,30;5,47
Minas Gerais;MG;2036;22.455.264;11.039.461;11.415.803;217.159;196.837;-2.158;0;-2.158;80,75;78,03;83,52;5,78;6,19;5,36
Minas Gerais;MG;2037;22.469.965;11.045.157;11.424.808;214.498;201.103;-2.158;0;-2.158;80,86;78,13;83,63;5,68;6,08;5,26
Minas Gerais;MG;2038;22.477.805;11.047.452;11.430.353;212.019;205.420;-2.158;0;-2.158;80,96;78,23;83,73;5,59;5,99;5,17
Minas Gerais;MG;2039;22.478.907;11.046.429;11.432.478;209.678;209.758;-2.158;0;-2.158;81,06;78,33;83,83;5,50;5,90;5,08
Minas Gerais;MG;2040;22.473.382;11.042.142;11.431.240;207.453;214.107;-2.158;0;-2.158;81,15;78,42;83,93;5,42;5,81;5,00
Minas Gerais;MG;2041;22.461.334;11.034.655;11.426.679;205.328;218.454;-2.158;0;-2.158;81,24;78,51;84,03;5,34;5,74;4,92
Minas Gerais;MG;2042;22.442.963;11.024.085;11.418.878;203.480;222.780;-2.158;0;-2.158;81,33;78,59;84,11;5,27;5,67;4,86
Minas Gerais;MG;2043;22.418.462;11.010.532;11.407.930;201.761;227.146;-2.158;0;-2.158;81,40;78,67;84,20;5,20;5,60;4,79
Minas Gerais;MG;2044;22.387.961;10.994.064;11.393.897;200.122;231.423;-2.158;0;-2.158;81,48;78,74;84,28;5,15;5,54;4,73
Minas Gerais;MG;2045;22.351.612;10.974.763;11.376.849;198.551;235.631;-2.158;0;-2.158;81,56;78,81;84,36;5,10;5,49;4,68
Minas Gerais;MG;2046;22.309.504;10.952.684;11.356.820;196.986;239.805;-2.158;0;-2.158;81,63;78,88;84,44;5,05;5,44;4,63
Minas Gerais;MG;2047;22.261.758;10.927.899;11.333.859;195.517;243.876;-2.158;0;-2.158;81,69;78,94;84,51;5,00;5,39;4,58
Minas Gerais;MG;2048;22.208.509;10.900.470;11.308.039;194.049;247.873;-2.158;0;-2.158;81,76;79,00;84,58;4,95;5,35;4,54
Minas Gerais;MG;2049;22.149.820;10.870.416;11.279.404;192.523;251.762;-2.158;0;-2.158;81,82;79,06;84,65;4,91;5,31;4,50
Minas Gerais;MG;2050;22.085.730;10.837.764;11.247.966;190.906;255.531;-2.158;0;-2.158;81,88;79,11;84,71;4,88;5,27;4,46
Minas Gerais;MG;2051;22.016.308;10.802.550;11.213.758;189.287;259.189;-2.158;0;-2.158;81,93;79,16;84,77;4,84;5,24;4,43
Minas Gerais;MG;2052;21.941.633;10.764.809;11.176.824;187.606;262.738;-2.158;0;-2.158;81,98;79,21;84,83;4,81;5,20;4,40
Minas Gerais;MG;2053;21.861.733;10.724.550;11.137.183;185.790;266.142;-2.158;0;-2.158;82,03;79,26;84,89;4,78;5,18;4,37
Minas Gerais;MG;2054;21.776.623;10.681.767;11.094.856;183.873;269.424;-2.158;0;-2.158;82,08;79,30;84,94;4,75;5,15;4,34
Minas Gerais;MG;2055;21.686.312;10.636.452;11.049.860;181.841;272.597;-2.158;0;-2.158;82,12;79,34;84,99;4,73;5,12;4,32
Minas Gerais;MG;2056;21.590.896;10.588.645;11.002.251;179.847;275.606;-2.158;0;-2.158;82,17;79,38;85,04;4,71;5,10;4,30
Minas Gerais;MG;2057;21.490.522;10.538.415;10.952.107;177.814;278.486;-2.158;0;-2.158;82,21;79,42;85,09;4,68;5,08;4,28
Minas Gerais;MG;2058;21.385.216;10.485.761;10.899.455;175.661;281.283;-2.158;0;-2.158;82,25;79,45;85,14;4,66;5,06;4,26
Minas Gerais;MG;2059;21.275.013;10.430.698;10.844.315;173.486;283.955;-2.158;0;-2.158;82,29;79,49;85,18;4,65;5,04;4,24
Minas Gerais;MG;2060;21.160.005;10.373.273;10.786.732;171.292;286.523;-2.158;0;-2.158;82,32;79,52;85,22;4,63;5,03;4,22
Espirito Santo;ES;2010;3.596.057;1.772.936;1.823.121;54.018;19.734;11.752;0;11.752;75,93;71,90;80,19;11,97;13,59;10,28
Espirito Santo;ES;2011;3.642.595;1.795.501;1.847.094;55.387;19.923;11.576;0;11.576;76,36;72,35;80,59;11,30;12,87;9,66
Espirito Santo;ES;2012;3.689.347;1.818.188;1.871.159;55.207;20.142;11.400;0;11.400;76,76;72,78;80,96;10,69;12,20;9,10
Espirito Santo;ES;2013;3.736.386;1.841.035;1.895.351;56.785;20.396;11.224;0;11.224;77,14;73,19;81,31;10,14;11,60;8,60
Espirito Santo;ES;2014;3.784.361;1.864.376;1.919.985;57.964;20.676;11.047;0;11.047;77,51;73,58;81,64;9,64;11,06;8,15
Espirito Santo;ES;2015;3.832.826;1.887.984;1.944.842;58.703;20.979;10.872;0;10.872;77,85;73,95;81,95;9,19;10,56;7,74
Espirito Santo;ES;2016;3.879.376;1.910.629;1.968.747;55.091;21.282;10.696;0;10.696;78,18;74,31;82,24;8,78;10,11;7,38
Espirito Santo;ES;2017;3.925.341;1.932.993;1.992.348;58.530;21.624;10.520;0;10.520;78,49;74,65;82,50;8,42;9,71;7,06
Espirito Santo;ES;2018;3.972.388;1.955.930;2.016.458;58.342;22.016;10.344;0;10.344;78,79;74,97;82,76;8,09;9,34;6,77
Espirito Santo;ES;2019;4.018.650;1.978.483;2.040.167;58.106;22.419;10.168;0;10.168;79,06;75,27;82,99;7,79;9,00;6,52
Espirito Santo;ES;2020;4.064.052;2.000.614;2.063.438;57.810;22.854;9.991;0;9.991;79,32;75,56;83,21;7,52;8,70;6,29
Espirito Santo;ES;2021;4.108.508;2.022.280;2.086.228;57.460;23.312;9.815;0;9.815;79,56;75,83;83,41;7,28;8,42;6,08
Espirito Santo;ES;2022;4.151.923;2.043.431;2.108.492;57.032;23.804;9.639;0;9.639;79,79;76,09;83,60;7,06;8,17;5,90
Espirito Santo;ES;2023;4.194.227;2.064.032;2.130.195;56.601;24.325;9.463;0;9.463;80,00;76,34;83,78;6,87;7,94;5,74
Espirito Santo;ES;2024;4.235.381;2.084.062;2.151.319;56.169;24.887;9.287;0;9.287;80,20;76,57;83,94;6,69;7,73;5,60
Espirito Santo;ES;2025;4.275.342;2.103.498;2.171.844;55.720;25.476;9.111;0;9.111;80,39;76,78;84,10;6,53;7,55;5,47
Espirito Santo;ES;2026;4.314.082;2.122.326;2.191.756;55.287;26.096;8.936;0;8.936;80,56;76,98;84,24;6,39;7,37;5,36
Espirito Santo;ES;2027;4.351.575;2.140.532;2.211.043;54.857;26.756;8.759;0;8.759;80,73;77,18;84,37;6,26;7,21;5,26
Espirito Santo;ES;2028;4.387.799;2.158.107;2.229.692;54.458;27.454;8.583;0;8.583;80,88;77,36;84,49;6,14;7,07;5,17
Espirito Santo;ES;2029;4.422.761;2.175.052;2.247.709;54.102;28.172;8.407;0;8.407;81,03;77,53;84,61;6,03;6,94;5,09
Espirito Santo;ES;2030;4.456.460;2.191.367;2.265.093;53.767;28.937;8.231;0;8.231;81,15;77,69;84,71;5,94;6,82;5,02
Espirito Santo;ES;2031;4.488.951;2.207.085;2.281.866;53.415;29.725;8.231;0;8.231;81,28;77,84;84,81;5,85;6,71;4,96
Espirito Santo;ES;2032;4.520.294;2.222.240;2.298.054;53.083;30.551;8.231;0;8.231;81,40;77,98;84,90;5,77;6,60;4,90
Espirito Santo;ES;2033;4.550.497;2.236.834;2.313.663;52.811;31.399;8.231;0;8.231;81,51;78,11;84,98;5,70;6,51;4,85
Espirito Santo;ES;2034;4.579.573;2.250.874;2.328.699;52.568;32.290;8.231;0;8.231;81,61;78,24;85,06;5,63;6,42;4,81
Espirito Santo;ES;2035;4.607.514;2.264.360;2.343.154;52.345;33.203;8.231;0;8.231;81,71;78,35;85,13;5,57;6,34;4,77
Espirito Santo;ES;2036;4.634.293;2.277.281;2.357.012;52.103;34.149;8.231;0;8.231;81,79;78,46;85,20;5,52;6,27;4,74
Espirito Santo;ES;2037;4.659.887;2.289.626;2.370.261;51.887;35.114;8.231;0;8.231;81,87;78,56;85,26;5,47;6,20;4,71
Espirito Santo;ES;2038;4.684.303;2.301.399;2.382.904;51.699;36.102;8.231;0;8.231;81,95;78,66;85,32;5,42;6,14;4,68
Espirito Santo;ES;2039;4.707.537;2.312.602;2.394.935;51.520;37.113;8.231;0;8.231;82,02;78,75;85,37;5,38;6,08;4,66
Espirito Santo;ES;2040;4.729.583;2.323.234;2.406.349;51.362;38.138;8.231;0;8.231;82,08;78,83;85,42;5,35;6,02;4,64
Espirito Santo;ES;2041;4.750.444;2.333.297;2.417.147;51.203;39.169;8.231;0;8.231;82,15;78,91;85,46;5,31;5,97;4,62
Espirito Santo;ES;2042;4.770.126;2.342.798;2.427.328;51.079;40.212;8.231;0;8.231;82,20;78,99;85,50;5,28;5,92;4,60
Espirito Santo;ES;2043;4.788.638;2.351.746;2.436.892;50.951;41.255;8.231;0;8.231;82,25;79,05;85,54;5,25;5,88;4,59
Espirito Santo;ES;2044;4.805.975;2.360.139;2.445.836;50.816;42.300;8.231;0;8.231;82,30;79,12;85,58;5,22;5,84;4,57
Espirito Santo;ES;2045;4.822.145;2.367.981;2.454.164;50.691;43.329;8.231;0;8.231;82,34;79,18;85,61;5,19;5,80;4,56
Espirito Santo;ES;2046;4.837.165;2.375.282;2.461.883;50.561;44.344;8.231;0;8.231;82,39;79,24;85,64;5,17;5,76;4,55
Espirito Santo;ES;2047;4.851.048;2.382.049;2.468.999;50.441;45.354;8.231;0;8.231;82,43;79,29;85,67;5,15;5,73;4,54
Espirito Santo;ES;2048;4.863.795;2.388.281;2.475.514;50.293;46.348;8.231;0;8.231;82,47;79,34;85,69;5,12;5,69;4,53
Espirito Santo;ES;2049;4.875.392;2.393.968;2.481.424;50.113;47.327;8.231;0;8.231;82,50;79,38;85,72;5,11;5,66;4,53
Espirito Santo;ES;2050;4.885.838;2.399.109;2.486.729;49.921;48.278;8.231;0;8.231;82,53;79,42;85,74;5,09;5,63;4,52
Espirito Santo;ES;2051;4.895.145;2.403.710;2.491.435;49.731;49.223;8.231;0;8.231;82,56;79,46;85,76;5,07;5,61;4,52
Espirito Santo;ES;2052;4.903.325;2.407.774;2.495.551;49.532;50.142;8.231;0;8.231;82,59;79,50;85,78;5,06;5,58;4,51
Espirito Santo;ES;2053;4.910.373;2.411.295;2.499.078;49.286;51.041;8.231;0;8.231;82,61;79,54;85,80;5,04;5,55;4,51
Espirito Santo;ES;2054;4.916.268;2.414.260;2.502.008;49.009;51.926;8.231;0;8.231;82,64;79,57;85,81;5,03;5,53;4,50
Espirito Santo;ES;2055;4.921.002;2.416.663;2.504.339;48.715;52.792;8.231;0;8.231;82,66;79,60;85,83;5,02;5,51;4,50
Espirito Santo;ES;2056;4.924.594;2.418.513;2.506.081;48.438;53.640;8.231;0;8.231;82,68;79,63;85,84;5,01;5,49;4,50
Espirito Santo;ES;2057;4.927.071;2.419.821;2.507.250;48.158;54.465;8.231;0;8.231;82,70;79,65;85,85;4,99;5,47;4,49
Espirito Santo;ES;2058;4.928.430;2.420.584;2.507.846;47.843;55.280;8.231;0;8.231;82,71;79,68;85,86;4,98;5,45;4,49
Espirito Santo;ES;2059;4.928.667;2.420.799;2.507.868;47.520;56.071;8.231;0;8.231;82,73;79,70;85,88;4,97;5,43;4,49
Espirito Santo;ES;2060;4.927.795;2.420.471;2.507.324;47.196;56.853;8.231;0;8.231;82,74;79,72;85,89;4,96;5,42;4,49
Rio de Janeiro;RJ;2010;42.298.906;20.607.272;21.691.634;600.394;246.231;51.437;0;51.437;76,10;72,60;79,55;11,98;13,03;10,87
Rio de Janeiro;RJ;2011;42.707.383;20.805.607;21.901.776;609.189;248.499;50.665;0;50.665;76,47;73,04;79,84;11,58;12,60;10,51
Rio de Janeiro;RJ;2012;43.119.841;21.006.793;22.113.048;614.973;251.306;49.895;0;49.895;76,82;73,46;80,11;11,19;12,18;10,16
Rio de Janeiro;RJ;2013;43.528.708;21.206.883;22.321.825;609.461;254.413;49.123;0;49.123;77,16;73,86;80,38;10,83;11,79;9,83
Rio de Janeiro;RJ;2014;43.937.755;21.407.763;22.529.992;623.424;257.855;48.352;0;48.352;77,48;74,24;80,63;10,49;11,41;9,51
Rio de Janeiro;RJ;2015;44.356.304;21.614.159;22.742.145;637.209;261.613;47.580;0;47.580;77,79;74,60;80,88;10,16;11,06;9,22
Rio de Janeiro;RJ;2016;44.760.305;21.813.699;22.946.606;603.412;265.394;46.809;0;46.809;78,08;74,94;81,11;9,85;10,72;8,94
Rio de Janeiro;RJ;2017;45.149.603;22.006.254;23.143.349;617.221;269.488;46.038;0;46.038;78,36;75,26;81,34;9,56;10,40;8,67
Rio de Janeiro;RJ;2018;45.538.936;22.199.331;23.339.605;613.637;274.009;45.266;0;45.266;78,62;75,56;81,56;9,28;10,10;8,42
Rio de Janeiro;RJ;2019;45.919.049;22.388.135;23.530.914;609.658;278.821;44.496;0;44.496;78,87;75,85;81,76;9,01;9,81;8,18
Rio de Janeiro;RJ;2020;46.289.333;22.572.327;23.717.006;605.336;283.825;43.724;0;43.724;79,11;76,12;81,96;8,77;9,54;7,95
Rio de Janeiro;RJ;2021;46.649.132;22.751.542;23.897.590;600.602;289.190;42.952;0;42.952;79,33;76,37;82,15;8,53;9,28;7,74
Rio de Janeiro;RJ;2022;46.997.428;22.925.220;24.072.208;595.009;294.962;42.182;0;42.182;79,54;76,61;82,34;8,31;9,04;7,53
Rio de Janeiro;RJ;2023;47.333.288;23.092.856;24.240.432;589.159;301.077;41.410;0;41.410;79,74;76,84;82,51;8,09;8,81;7,34
Rio de Janeiro;RJ;2024;47.656.295;23.254.217;24.402.078;583.426;307.543;40.639;0;40.639;79,93;77,05;82,68;7,89;8,59;7,16
Rio de Janeiro;RJ;2025;47.966.292;23.409.215;24.557.077;577.872;314.267;39.868;0;39.868;80,11;77,25;82,84;7,71;8,38;6,99
Rio de Janeiro;RJ;2026;48.263.115;23.557.726;24.705.389;572.490;321.411;39.096;0;39.096;80,28;77,43;82,99;7,52;8,19;6,83
